,für,über,können,jahr,zwei,zeit,jahre,gibt,ersten,jahren,menschen,während,heute,später,chr,erste,z.,hitler,alexander,drei,v.,jahrhundert,form,ohne,b.,deutschen,teil,beispiel,stadt,deutschland,bezeichnet,sei,ende,de,aristoteles,//de.wikipedia.org/wiki,meist,bekannt,konnte,verwendet,insbesondere,worden,aufgrund,zunächst,’,gilt,beispielsweise,große,wegen,of,hitchcock,großen,neuen,liegt,stark,welt,siehe,film,neue,arbeit,zurück,ließ,rolle,the,aldi,staaten,jahrhunderts,besteht,wobei,deutsche,aluminium,meisten,merkel,prozent,bedeutung,sprache,tod,a,crowley,genannt,september,gegenüber,oktober,sprachen,art,leben,steht,namen,millionen,bevölkerung,vier,häufig,april,lassen,märz,rund,august,1,verschiedenen,januar
liegt,3.0,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,6.0,1.0,,,,,1.0,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stark,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
welt,2.0,6.0,1.0,,,,,1.0,,,1.0,,,1.0,,2.0,,,,,,,,1.0,,,,,1.0,,1.0,1.0,2.0,,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siehe,10.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
film,23.0,7.0,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,,2.0,,,,1.0,,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neue,8.0,1.0,1.0,,2.0,3.0,,,1.0,,,,,,,,,,,1.0,,2.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arbeit,9.0,2.0,1.0,1.0,,,,1.0,,,2.0,1.0,2.0,,,1.0,,,,1.0,,,,4.0,,1.0,,1.0,,,,3.0,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zurück,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,6.0,,,1.0,,,,1.0,,,,3.0,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ließ,3.0,2.0,,1.0,3.0,,,,2.0,,,,,,,2.0,,16.0,10.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolle,10.0,1.0,,,,,1.0,,1.0,,,,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aldi,4.0,5.0,2.0,3.0,,,2.0,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,2.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staaten,6.0,1.0,,2.0,2.0,,,1.0,1.0,,,,,1.0,,,,,3.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jahrhunderts,3.0,1.0,,,,,,,3.0,1.0,,,,,9.0,,,,1.0,,8.0,,,,,,1.0,,,,1.0,,27.0,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
besteht,11.0,2.0,,,3.0,,,,,,2.0,,1.0,1.0,,,1.0,,,2.0,,,1.0,,1.0,,,,,1.0,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
